"q",,"time",
-3.6635,-1.8672,2.5,
-3.6523,-1.8805,2.51,
-3.6426,-1.8917,2.52,
-3.6342,-1.9012,2.53,
-3.6269,-1.9089,2.54,
-3.6206,-1.9152,2.55,
-3.6149,-1.9201,2.56,
-3.6098,-1.9237,2.57,
-3.6051,-1.9263,2.58,
-3.6005,-1.9278,2.59,
-3.596,-1.9286,2.6,
-3.5913,-1.9285,2.61,
-3.5865,-1.9277,2.62,
-3.5817,-1.9262,2.63,
-3.5769,-1.9239,2.64,
-3.5723,-1.9209,2.65,
-3.568,-1.917,2.66,
-3.5639,-1.9124,2.67,
-3.5603,-1.9069,2.68,
-3.5572,-1.9006,2.69,
-3.5547,-1.8934,2.7,
-3.5529,-1.8853,2.71,
-3.5517,-1.8764,2.72,
-3.5512,-1.8669,2.73,
-3.5512,-1.857,2.74,
-3.5518,-1.8467,2.75,
-3.553,-1.8363,2.76,
-3.5547,-1.8258,2.77,
-3.5568,-1.8155,2.78,
-3.5594,-1.8055,2.79,
-3.5624,-1.796,2.8,
-3.5657,-1.787,2.81,
-3.5693,-1.7787,2.82,
-3.573,-1.771,2.83,
-3.5766,-1.7638,2.84,
-3.5799,-1.7574,2.85,
-3.5827,-1.7516,2.86,
-3.5849,-1.7465,2.87,
-3.5856,-1.7436,2.88,
-3.5804,-1.751,2.89,
-3.5691,-1.7689,2.9,
-3.5523,-1.7959,2.91,
-3.531,-1.8304,2.92,
-3.5062,-1.8707,2.93,
-3.4789,-1.9153,2.94,
-3.4501,-1.9628,2.95,
-3.4207,-2.0117,2.96,
-3.3915,-2.0608,2.97,
-3.3634,-2.1089,2.98,
-3.3372,-2.1549,2.99,
-3.3137,-2.1977,3,
-3.2935,-2.2363,3.01,
-3.2772,-2.2699,3.02,
-3.2653,-2.2977,3.03,
-3.258,-2.3189,3.04,
-3.2556,-2.3327,3.05,
-3.2583,-2.3384,3.06,
-3.2676,-2.3352,3.07,
-3.2861,-2.3233,3.08,
-3.3124,-2.3035,3.09,
-3.3452,-2.2767,3.1,
-3.3829,-2.2438,3.11,
-3.4242,-2.2056,3.12,
-3.4679,-2.1628,3.13,
-3.513,-2.1164,3.14,
-3.5586,-2.067,3.15,
-3.6038,-2.0157,3.16,
-3.648,-1.9634,3.17,
-3.6903,-1.9111,3.18,
-3.7302,-1.8598,3.19,
-3.7668,-1.8108,3.2,
-3.7994,-1.7653,3.21,
-3.8268,-1.7252,3.22,
-3.848,-1.6924,3.23,
-3.8617,-1.6689,3.24,
-3.8666,-1.6569,3.25,
-3.8661,-1.6519,3.26,
-3.8641,-1.6487,3.27,
-3.8605,-1.6478,3.28,
-3.8549,-1.6496,3.29,
-3.847,-1.6547,3.3,
-3.8365,-1.6634,3.31,
-3.8238,-1.6753,3.32,
-3.8091,-1.6896,3.33,
-3.793,-1.7059,3.34,
-3.7757,-1.7234,3.35,
-3.7576,-1.7416,3.36,
-3.7392,-1.7599,3.37,
-3.7208,-1.7778,3.38,
-3.7029,-1.7947,3.39,
-3.6858,-1.8102,3.4,
-3.6699,-1.8237,3.41,
-3.6553,-1.8354,3.42,
-3.642,-1.8454,3.43,
-3.6301,-1.8537,3.44,
-3.6196,-1.8604,3.45,
-3.6105,-1.8658,3.46,
-3.6029,-1.8697,3.47,
-3.5968,-1.8724,3.48,
-3.5923,-1.8739,3.49,
-3.5894,-1.8742,3.5,
-3.5881,-1.8736,3.51,
-3.5881,-1.872,3.52,
-3.5892,-1.8698,3.53,
-3.5911,-1.867,3.54,
-3.5936,-1.8639,3.55,
-3.5965,-1.8607,3.56,
-3.5994,-1.8575,3.57,
-3.6021,-1.8544,3.58,
-3.6043,-1.8517,3.59,
-3.6059,-1.8496,3.6,
-3.6065,-1.8481,3.61,
-3.6062,-1.8474,3.62,
-3.605,-1.8473,3.63,
-3.603,-1.848,3.64,
-3.6003,-1.8493,3.65,
-3.5969,-1.8514,3.66,
-3.5928,-1.8542,3.67,
-3.5881,-1.8576,3.68,
-3.5829,-1.8618,3.69,
-3.5772,-1.8667,3.7,
-3.5712,-1.8723,3.71,
-3.5648,-1.8785,3.72,
-3.5583,-1.8851,3.73,
-3.5517,-1.8922,3.74,
-3.5452,-1.8995,3.75,
-3.5388,-1.9071,3.76,
-3.5326,-1.9147,3.77,
-3.5267,-1.9224,3.78,
-3.5213,-1.93,3.79,
-3.5162,-1.9374,3.8,
-3.5117,-1.9445,3.81,
-3.5078,-1.9515,3.82,
-3.5042,-1.9581,3.83,
-3.5012,-1.9645,3.84,
-3.4986,-1.9705,3.85,
-3.4964,-1.9762,3.86,
-3.4946,-1.9816,3.87,
-3.4932,-1.9866,3.88,
-3.4922,-1.9911,3.89,
-3.4916,-1.9953,3.9,
-3.4914,-1.999,3.91,
-3.4915,-2.0022,3.92,
-3.4919,-2.0051,3.93,
-3.4925,-2.0075,3.94,
-3.4933,-2.0094,3.95,
-3.494,-2.011,3.96,
-3.4947,-2.0123,3.97,
